number	1345
less	1345
able	1343
event	1343
union	1337
weekend	1336
david	1336
figure	1332
side	1328
east	1326
win	1325
staff	1325
war	1322
chancellor	1316
cell	1315
several	1313
concern	1310
site	1299
race	1299
foreign	1297
michael	1287
special	1283
flee	1282
jury	1281
flight	1280
near	1280
anne	1275
lose	1274
dollar	1273
guilty	1269
cut	1269
america	1267
brazil	1254
lower	1244
course	1239
better	1238
print	1237
join	1237
succeed	1235
material	1234
team	1232
latest	1229
lot	1225
receive	1224
benjamin	1222
forcible	1221
percent	1221
serious	1218
hear	1216
senior	1214
sinclair	1211
discuss	1210
six	1210
air	1209
nothing	1208
remove	1207
whose	1206
2008	1206
full	1205
reuters	1202
fact	1200
push	1199
click	1194
obama	1192
little	1191
geithner	1185
twitter	1185
detail	1181
love	1180
dsk	1179
experience	1178
due	1170
key	1169
idea	1169
enough	1168
record	1167
chance	1165
brafman	1165
link	1165
increase	1162
lipsky	1162
something	1159
poll	1158
department	1153
real	1153
the	1151
although	1151
moment	1150
price	1149
rate	1146
page	1146
angela	1140
address	1139
april	1138
ireland	1137
trade	1136
website	1134
spokesman	1132
minute	1131
within	1130
bailout	1130
represent	1128
district	1127
mark	1124
allege	1123
hand	1122
presidency	1121
largest	1115
encounter	1113
indict	1111
guinea	1110
schedule	1106
quit	1106
capital	1106
express	1105
level	1104
always	1103
warn	1101
often	1101
exchange	1101
opinion	1101
image	1098
grant	1098
writer	1097
stock	1096
politics	1095
stop	1095
anything	1094
india	1094
focus	1093
let	1092
merkel	1092
file	1092
popular	1090
submit	1086
accept	1086
analyst	1084
governor	1082
editor	1080
despite	1079
local	1076
pick	1076
select	1075
challenge	1072
privacy	1070
hit	1068
front	1068
quote	1067
housekeeper	1066
chase	1064
short	1064
headline	1063
contender	1061
create	1058
portugal	1058
selection	1057
demand	1057
decade	1057
campaign	1050
kind	1049
william	1049
'll	1047
allegedly	1045
biggest	1044
chambermaid	1043
frenchman	1043
investigation	1042
five	1042
morning	1041
employee	1039
firm	1035
history	1035
europeans	1035
await	1034
carry	1032
bid	1031
timothy	1031
really	1030
avoid	1030
suicide	1030
wait	1029
cost	1026
subject	1025
together	1025
along	1024
social	1022
old	1022
situation	1022
meanwhile	1016
2007	1015
london	1014
review	1013
bill	1011
attention	1011
ex-imf	1005
describe	1004
present	1001
control	998
list	997
agreement	997
consensual	996
rss	996
cause	989
soon	988
discussion	984
cover	984
single	981
date	979
update	978
consistent	977
accusation	975
ensure	970
wall	969
different	968
gain	966
toward	965
broadcast	964
walk	963
publicly	961
conduct	960
travel	960
third	956
currently	951
japan	950
sure	950
choice	948
across	945
2012	943
britain	943
father	943
university	942
arrive	941
unlawful	941
especially	938
imprisonment	938
monitor	934
measure	931
career	928
sit	927
nearly	926
online	926
seven	923
naked	920
previous	917
effort	914
almost	913
monitoring	911
count	909
tweet	908
general	906
camera	905
investor	904
kill	904
probably	903
banker	901
devote	901
fear	900
quickly	900
action	900
highly	900
mention	899
strength	898
cite	898
buy	897
phone	897
dervis	897
fail	895
deputy	895
merit	893
-lsb-	892
mexico	892
british	892
pull	891
kemal	891
-rsb-	889
eye	886
respect	886
check	882
debate	882
determine	881
boss	880
mr.	879
similar	879
book	878
widely	877
difficult	876
prepare	875
clean	875
appearance	874
yesterday	873
officer	871
center	871
blog	870
community	870
identify	870
mother	868
approve	867
commission	865
related	865
arraignment	864
rich	864
health	862
battle	860
convict	860
reach	859
alert	858
afternoon	857
insist	854
supreme	854
rather	851
airport	850
female	847
true	846
per	845
standard	845
sense	845
refuse	844
expert	842
ever	839
management	839
secure	835
bar	834
propose	833
growth	833
incident	832
door	829
reform	828
drive	826
word	823
custody	821
ahead	820
investigator	820
2010	819
replacement	818
mobile	817
2009	816
feed	816
forward	815
appoint	815
husband	812
asia	811
development	811
complex	810
reader	810
instead	809
index	809
radio	808
recently	807
location	806
enforcement	805
americans	802
candidacy	801
investment	801
white	800
march	800
obviously	799
arrangement	797
eight	794
conservative	794
oil	792
eurozone	789
touch	787
sell	787
throw	787
bathroom	787
block	786
reflect	786
speculation	785
hard	784
formally	782
investigate	782
taylor	781
car	780
network	780
main	780
dna	779
area	776
voice	775
school	775
square	773
body	772
confirm	772
picture	772
message	770
shapiro	767
diplomat	766
advance	766
bad	766
couple	765
tradition	763
plane	762
currency	761
stage	759
notorious	758
save	757
redistribute	757
relationship	756
defend	756
small	755
reputation	755
alone	754
complete	754
conference	753
rewrite	753
request	750
amid	750
low	749
individual	748
credit	745
project	745
traditional	742
research	741
conspiracy	741
young	738
sale	738
confine	736
doubt	736
federal	735
perhaps	732
large	732
form	732
response	731
greatest	731
appointment	729
poor	728
welcome	726
rating	725
technology	724
immediately	723
innocent	722
star	721
insurance	720
learn	720
direct	719
obus	719
lender	719
quick	719
answer	718
promise	718
stabilize	718
blow	716
aid	714
inside	714
middle	712
detention	712
content	710
higher	710
newsletter	710
region	709
e-mail	709
program	708
death	708
section	707
increasingly	706
package	704
temporary	704
english	703
turkey	703
benefit	702
bernard	701
fire	701
weekly	701
circumstance	700
drop	699
schwarzenegger	699
paul	696
additional	695
speech	694
resident	694
singapore	693
regard	693
p.m.	691
forensic	691
contain	690
complaint	689
commit	688
yes	687
feature	685
possibility	685
urge	684
either	682
brussels	681
available	681
draw	681
trouble	680
weather	679
language	677
anonymity	676
critical	674
digg	672
reject	670
jeffrey	668
register	667
nyc	666
wealth	665
simply	663
plead	662
estimate	662
high-profile	659
100	659
rent	659
anyone	658
effect	657
wealthy	657
kennedy	656
secret	656
damage	656
arnold	656
half	655
build	654
quite	654
bracelet	653
document	652
housing	652
suffer	649
north	649
succession	648
certainly	648
accuser	647
emergency	647
colleague	646
indictment	646
russia	646
chairman	645
practice	641
tax	640
mind	640
common	637
california	637
handle	635
everyone	634
medical	633
scene	633
longer	632
roman	632
treat	632
maintain	629
shock	628
advertisement	627
brown	625
certain	625
george	625
praise	624
connection	624
guy	623
dismiss	623
berlin	622
example	622
behavior	622
explain	621
culture	620
pass	620
deliver	619
nature	619
ministry	618
zone	618
profile	618
suspect	617
manager	617
suit	614
3,000-a-night	614
test	611
doctor	610
defence	610
host	609
limit	608
worker	607
fair	607
upper	606
worry	606
manuel	605
prominent	605
firmness	604
